filename,crack,inactive
augmented_images/cell2044_aug_0.png,1,0
augmented_images/cell2044_aug_1.png,1,0
augmented_images/cell2044_aug_2.png,1,0
augmented_images/cell0123_aug_0.png,0,0
augmented_images/cell0123_aug_1.png,0,0
augmented_images/cell0123_aug_2.png,0,0
augmented_images/cell2241_aug_0.png,0,0
augmented_images/cell2241_aug_1.png,0,0
augmented_images/cell2241_aug_2.png,0,0
augmented_images/cell2426_aug_0.png,0,0
augmented_images/cell2426_aug_1.png,0,0
augmented_images/cell2426_aug_2.png,0,0
augmented_images/cell1552_aug_0.png,0,0
augmented_images/cell1552_aug_1.png,0,0
augmented_images/cell1552_aug_2.png,0,0
augmented_images/cell0813_aug_0.png,0,0
augmented_images/cell0813_aug_1.png,0,0
augmented_images/cell0813_aug_2.png,0,0
augmented_images/cell1251_aug_0.png,0,0
augmented_images/cell1251_aug_1.png,0,0
augmented_images/cell1251_aug_2.png,0,0
augmented_images/cell1221_aug_0.png,0,0
augmented_images/cell1221_aug_1.png,0,0
augmented_images/cell1221_aug_2.png,0,0
augmented_images/cell1456_aug_0.png,1,0
augmented_images/cell1456_aug_1.png,1,0
augmented_images/cell1456_aug_2.png,1,0
augmented_images/cell1927_aug_0.png,0,0
augmented_images/cell1927_aug_1.png,0,0
augmented_images/cell1927_aug_2.png,0,0
augmented_images/cell1283_aug_0.png,0,0
augmented_images/cell1283_aug_1.png,0,0
augmented_images/cell1283_aug_2.png,0,0
augmented_images/cell1575_aug_0.png,0,0
augmented_images/cell1575_aug_1.png,0,0
augmented_images/cell1575_aug_2.png,0,0
augmented_images/cell1263_aug_0.png,0,0
augmented_images/cell1263_aug_1.png,0,0
augmented_images/cell1263_aug_2.png,0,0
augmented_images/cell0614_aug_0.png,1,0
augmented_images/cell0614_aug_1.png,1,0
augmented_images/cell0614_aug_2.png,1,0
augmented_images/cell0718_aug_0.png,0,0
augmented_images/cell0718_aug_1.png,0,0
augmented_images/cell0718_aug_2.png,0,0
augmented_images/cell1809_aug_0.png,0,0
augmented_images/cell1809_aug_1.png,0,0
augmented_images/cell1809_aug_2.png,0,0
augmented_images/cell1275_aug_0.png,0,0
augmented_images/cell1275_aug_1.png,0,0
augmented_images/cell1275_aug_2.png,0,0
augmented_images/cell1161_aug_0.png,1,0
augmented_images/cell1161_aug_1.png,1,0
augmented_images/cell1161_aug_2.png,1,0
augmented_images/cell1725_aug_0.png,0,0
augmented_images/cell1725_aug_1.png,0,0
augmented_images/cell1725_aug_2.png,0,0
augmented_images/cell0249_aug_0.png,1,1
augmented_images/cell0249_aug_1.png,1,1
augmented_images/cell0249_aug_2.png,1,1
augmented_images/cell2484_aug_0.png,0,0
augmented_images/cell2484_aug_1.png,0,0
augmented_images/cell2484_aug_2.png,0,0
